day,mont,year,credited,debited,type,week_day,perc_remain
1,6,2020,10404683.1,7921941.905,N,1,0.238617666
2,6,2020,8616163.607,7062377.51,N,2,0.180333866
3,6,2020,7872211.721,6372551.002,N,3,0.190500557
4,6,2020,7835058.271,6331527.59,N,4,0.19189783
5,6,2020,8701641.714,7060386.51,N,5,0.188614431
6,6,2020,2657576.569,1226194.225,N,6,0.538604366
7,6,2020,,,N,7,
8,6,2020,8171845.89,6539346.49,N,1,0.199771193
9,6,2020,7043053.26,5402860.945,N,2,0.232880862
10,6,2020,7921840.214,6405740.562,N,3,0.191382256
11,6,2020,7744115.336,6086390.067,N,4,0.214062575
12,6,2020,10272281.31,8555667.531,N,5,0.167111251
13,6,2020,,,N,6,
14,6,2020,,,N,7,
15,6,2020,11655240.96,9552411.814,P,1,0.180419191
16,6,2020,7842402.221,5745436.233,N,2,0.267388222
17,6,2020,7652831.117,6125795.6,N,3,0.19953864
18,6,2020,7996337.131,6185858.933,N,4,0.22641344
19,6,2020,8018521.214,6493952.15,N,5,0.190130951
20,6,2020,1976020.525,928922.831,N,6,0.529902236
21,6,2020,,,N,7,
22,6,2020,9343667.671,7602510.417,N,1,0.186346231
23,6,2020,7871239.355,5590905.879,N,2,0.289704502
24,6,2020,7763086.929,6124638.076,N,3,0.211056358
25,6,2020,7894487.486,5840285.305,N,4,0.260207162
26,6,2020,10122052.94,7988556.576,N,5,0.210777041
27,6,2020,,,N,6,
28,6,2020,,,N,7,
29,6,2020,13920495.95,10832054.42,N,1,0.221862895
30,6,2020,16702615.13,13142865,P,2,0.213125316
1,7,2020,9946093.993,7649272.052,N,3,0.230927029
2,7,2020,7634822.631,5856264.224,N,4,0.232953468
3,7,2020,7109651.11,5396614.448,N,5,0.24094525
4,7,2020,2272685.965,1110431.664,N,6,0.511401187
5,7,2020,,,N,7,
6,7,2020,9360750.971,7050284.862,N,1,0.246824867
7,7,2020,8272839.674,6467188.662,N,2,0.218262541
8,7,2020,7482119.407,5738062.583,N,3,0.233096631
9,7,2020,8183848.69,6463637.1,N,4,0.210195918
10,7,2020,9278138.788,7216854.564,N,5,0.222165703
11,7,2020,,,N,6,
12,7,2020,,,N,7,
13,7,2020,10712664.96,8610384.652,N,1,0.196242515
14,7,2020,7899564.319,6264111.736,N,2,0.207030732
15,7,2020,7915856.417,5993313.626,P,3,0.242872368
16,7,2020,7764233.726,6104317.69,N,4,0.213790065
17,7,2020,7249872.55,5478172.476,N,5,0.24437672
18,7,2020,1926166.133,967682.2588,N,6,0.497612256
19,7,2020,,,N,7,
20,7,2020,8222069.59,6546884.836,N,1,0.203742469
21,7,2020,7165626.433,5743386.293,N,2,0.198480922
22,7,2020,7313042.4,5836780.29,N,3,0.201867024
23,7,2020,7403931.233,5801135.917,N,4,0.216478958
24,7,2020,7601039.717,5715051.217,N,5,0.248122437
25,7,2020,,,N,6,
26,7,2020,,,N,7,
27,7,2020,8585192.562,6144811.007,N,1,0.284254725
28,7,2020,7970330.9,6091538.748,N,2,0.235723231
29,7,2020,10893760.54,9126636.033,N,3,0.16221437
30,7,2020,9317680.745,6863890.84,N,4,0.263347712
